xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.0710937;0.0049582;0.0049582;0.138441;0.138441;3.46945e-17;-5.55112e-17;0.00078125;6.98255e-17;3.70074e-17;5.92119e-17;7;0;0.0713227
0.071875;0.00506694;0.00506694;0.139934;0.139934;3.46945e-17;-8.32667e-17;0.00078125;9.62193e-17;3.70074e-17;8.88178e-17;7;0;0.0721114
0.0726562;0.00517685;0.00517685;0.141427;0.141427;3.46945e-17;-5.55112e-17;0.00078125;6.98255e-17;3.70074e-17;5.92119e-17;7;0;0.0729004
0.0734375;0.00528792;0.00528792;0.14292;0.14292;3.46945e-17;-5.55112e-17;0.00078125;6.98255e-17;3.70074e-17;5.92119e-17;7;0;0.0736895
0.0742187;0.00540016;0.00540016;0.144412;0.144412;3.46945e-17;-8.32667e-17;0.00078125;9.62193e-17;3.70074e-17;8.88178e-17;7;0;0.0744788
0.075;0.00551356;0.00551356;0.145904;0.145904;3.46945e-17;-5.55112e-17;0.00078125;6.98255e-17;3.70074e-17;5.92119e-17;7;0;0.0752682
0.0757812;0.00562813;0.00562813;0.147395;0.147395;3.46945e-17;-5.55112e-17;0.00078125;6.98255e-17;3.70074e-17;5.92119e-17;7;0;0.0760578
0.0765625;0.00574387;0.00574387;0.148886;0.148886;3.29597e-17;-5.55112e-17;0.00078125;6.88627e-17;3.51571e-17;5.92119e-17;7;0;0.0768476
0.0773437;0.00586077;0.00586077;0.150377;0.150377;3.38271e-17;-8.32667e-17;0.00078125;9.58673e-17;3.60822e-17;8.88178e-17;7;0;0.0776375
0.078125;0.00597883;0.00597883;0.151868;0.151868;3.29597e-17;-5.55112e-17;0.00078125;6.88627e-17;3.51571e-17;5.92119e-17;7;0;0.0784277
0.0789062;0.00609806;0.00609806;0.153359;0.153359;3.29597e-17;-8.32667e-17;0.00078125;9.55229e-17;3.51571e-17;8.88178e-17;7;0;0.0792179
0.0796875;0.00621845;0.00621845;0.154849;0.154849;3.29597e-17;-5.55112e-17;0.00078125;6.88627e-17;3.51571e-17;5.92119e-17;7;0;0.0800084
0.0804687;0.00634001;0.00634001;0.156339;0.156339;3.29597e-17;-5.55112e-17;0.00078125;6.88627e-17;3.51571e-17;5.92119e-17;7;0;0.0807991
0.08125;0.00646273;0.00646273;0.157828;0.157828;3.20924e-17;-5.55112e-17;0.00078125;6.8395e-17;3.42319e-17;5.92119e-17;7;0;0.0815899
0.0820312;0.00658662;0.00658662;0.159318;0.159318;3.29597e-17;-2.77556e-17;0.00078125;4.59623e-17;3.51571e-17;2.96059e-17;7;1;0.0823809
0.0828125;0.00671167;0.00671167;0.160807;0.160807;3.29597e-17;-5.55112e-17;0.00078125;6.88627e-17;3.51571e-17;5.92119e-17;8;1;0.0831721
0.0835937;0.00683788;0.00683788;0.162296;0.162296;3.20924e-17;-5.55112e-17;0.00078125;6.8395e-17;3.42319e-17;5.92119e-17;8;1;0.0839635
0.084375;0.00696525;0.00696525;0.163784;0.163784;3.20924e-17;-5.55112e-17;0.00078125;6.8395e-17;3.42319e-17;5.92119e-17;8;1;0.084755
